Time: Wed Sep 20 2023 03:00:43 GMT+0600 (Bangladesh Standard Time) |success:Successfully updated the discount for the book!|URL: 127.0.0.1/books/updateDiscount/65081da77565f7b3c3f61483
Time:Wed Oct 11 2023 15:44:18 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:18 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:18 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:18 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:18 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:18 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:18 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:19 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
Time:Wed Oct 11 2023 15:44:20 GMT+0600 (Bangladesh Standard Time) |failed|URL: 127.0.0.1/carts/removefromCart| [error: TypeError: Cannot read properties of undefined (reading 'split')]
